comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,10,5,pack,300,200,1.000,0.000,0.000,0.982,16.1,0.00,0.018,1.000,1.551
trio-core,10,5,boss,180,200,1.000,0.000,0.000,0.982,30.0,0.00,0.018,1.000,1.551
trio-core,10,5,boss,300,200,1.000,0.000,0.000,0.982,30.0,0.00,0.018,1.000,1.550
trio-core,10,6,solo,180,200,1.000,0.000,0.000,0.886,4.1,0.00,0.114,1.000,1.500
trio-core,10,6,solo,300,200,1.000,0.000,0.000,0.885,4.1,0.00,0.115,1.000,1.500
trio-core,10,6,pack,180,200,1.000,0.000,0.000,0.973,19.7,0.00,0.027,1.000,1.546
trio-core,10,6,pack,300,200,1.000,0.000,0.000,0.972,19.7,0.00,0.028,1.000,1.546
trio-core,10,6,boss,180,200,1.000,0.000,0.000,0.968,40.4,0.00,0.032,1.000,1.543
trio-core,10,6,boss,300,200,1.000,0.000,0.000,0.967,40.4,0.00,0.033,1.000,1.543
trio-core,10,7,solo,180,200,1.000,0.000,0.000,0.935,6.4,0.00,0.065,1.000,1.526
trio-core,10,7,solo,300,200,1.000,0.000,0.000,0.936,6.4,0.00,0.064,1.000,1.527
trio-core,10,7,pack,180,200,0.435,0.000,0.565,0.537,28.5,2.10,0.767,0.509,0.574
trio-core,10,7,pack,300,200,0.395,0.000,0.605,0.553,28.5,2.18,0.782,0.513,0.524
trio-core,10,7,boss,180,200,1.000,0.000,0.000,0.921,51.5,0.00,0.079,1.000,1.519
trio-core,10,7,boss,300,200,1.000,0.000,0.000,0.915,51.6,0.00,0.085,1.000,1.516
trio-core,10,8,solo,180,200,1.000,0.000,0.000,0.948,9.6,0.00,0.052,1.000,1.533
trio-core,10,8,solo,300,200,1.000,0.000,0.000,0.947,9.5,0.00,0.053,1.000,1.533
trio-core,10,8,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.451,0.000
trio-core,10,8,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.449,0.000
trio-core,10,8,boss,180,200,0.035,0.000,0.965,0.732,68.1,2.90,0.974,0.579,0.050
trio-core,10,8,boss,300,200,0.050,0.000,0.950,0.771,67.8,2.85,0.961,0.579,0.072
trio-core,20,1,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,1,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,1,pack,180,200,1.000,0.000,0.000,0.979,2.7,0.00,0.021,1.000,1.609
trio-core,20,1,pack,300,200,1.000,0.000,0.000,0.979,2.7,0.00,0.021,1.000,1.609
trio-core,20,1,boss,180,200,1.000,0.000,0.000,0.969,4.9,0.00,0.031,1.000,1.603
trio-core,20,1,boss,300,200,1.000,0.000,0.000,0.969,5.0,0.00,0.031,1.000,1.603
trio-core,20,2,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,2,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,2,pack,180,200,1.000,0.000,0.000,0.964,3.9,0.00,0.036,1.000,1.600
trio-core,20,2,pack,300,200,1.000,0.000,0.000,0.963,3.9,0.00,0.037,1.000,1.600
trio-core,20,2,boss,180,200,1.000,0.000,0.000,0.964,5.8,0.00,0.036,1.000,1.600
trio-core,20,2,boss,300,200,1.000,0.000,0.000,0.963,5.8,0.00,0.037,1.000,1.600
trio-core,20,3,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,3,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,3,pack,180,200,1.000,0.000,0.000,0.953,3.9,0.00,0.047,1.000,1.595
trio-core,20,3,pack,300,200,1.000,0.000,0.000,0.953,3.9,0.00,0.047,1.000,1.595
trio-core,20,3,boss,180,200,1.000,0.000,0.000,0.932,7.4,0.00,0.068,1.000,1.583
trio-core,20,3,boss,300,200,1.000,0.000,0.000,0.933,7.5,0.00,0.067,1.000,1.584
trio-core,20,4,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,4,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,4,pack,180,200,1.000,0.000,0.000,0.941,5.2,0.00,0.059,1.000,1.588
trio-core,20,4,pack,300,200,1.000,0.000,0.000,0.940,5.2,0.00,0.060,1.000,1.588
trio-core,20,4,boss,180,200,1.000,0.000,0.000,0.885,10.6,0.00,0.115,1.000,1.558
trio-core,20,4,boss,300,200,1.000,0.000,0.000,0.887,10.7,0.00,0.113,1.000,1.559
trio-core,20,5,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,5,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,5,pack,180,200,1.000,0.000,0.000,0.911,5.7,0.00,0.089,1.000,1.572
trio-core,20,5,pack,300,200,1.000,0.000,0.000,0.911,5.7,0.00,0.089,1.000,1.572
trio-core,20,5,boss,180,200,1.000,0.000,0.000,0.999,14.5,0.00,0.001,1.000,1.619
trio-core,20,5,boss,300,200,1.000,0.000,0.000,0.999,14.4,0.00,0.001,1.000,1.620
trio-core,20,6,solo,180,200,1.000,0.000,0.000,0.974,1.1,0.00,0.026,1.000,1.606
trio-core,20,6,solo,300,200,1.000,0.000,0.000,0.971,1.2,0.00,0.029,1.000,1.605
trio-core,20,6,pack,180,200,1.000,0.000,0.000,0.971,9.7,0.00,0.029,1.000,1.604
trio-core,20,6,pack,300,200,1.000,0.000,0.000,0.969,9.7,0.00,0.031,1.000,1.603
trio-core,20,6,boss,180,200,1.000,0.000,0.000,0.979,18.4,0.00,0.021,1.000,1.609
trio-core,20,6,boss,300,200,1.000,0.000,0.000,0.981,18.3,0.00,0.019,1.000,1.610
trio-core,20,7,solo,180,200,1.000,0.000,0.000,0.961,2.4,0.00,0.039,1.000,1.599
trio-core,20,7,solo,300,200,1.000,0.000,0.000,0.960,2.4,0.00,0.040,1.000,1.598
trio-core,20,7,pack,180,200,1.000,0.000,0.000,0.991,12.5,0.00,0.009,1.000,1.615
trio-core,20,7,pack,300,200,1.000,0.000,0.000,0.990,12.5,0.00,0.010,1.000,1.615
trio-core,20,7,boss,180,200,1.000,0.000,0.000,0.978,24.4,0.00,0.022,1.000,1.608
trio-core,20,7,boss,300,200,1.000,0.000,0.000,0.979,24.3,0.00,0.021,1.000,1.609
trio-core,20,8,solo,180,200,1.000,0.000,0.000,0.905,4.0,0.00,0.095,1.000,1.569
trio-core,20,8,solo,300,200,1.000,0.000,0.000,0.907,4.0,0.00,0.093,1.000,1.570
trio-core,20,8,pack,180,200,1.000,0.000,0.000,1.000,17.3,0.00,0.000,1.000,1.620
trio-core,20,8,pack,300,200,1.000,0.000,0.000,1.000,17.3,0.00,0.000,1.000,1.620
trio-core,20,8,boss,180,200,1.000,0.000,0.000,0.948,33.7,0.00,0.052,1.000,1.592
trio-core,20,8,boss,300,200,1.000,0.000,0.000,0.941,34.1,0.00,0.059,1.000,1.588
trio-core,35,1,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,1,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,1,pack,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,1,pack,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,1,boss,180,200,1.000,0.000,0.000,0.987,3.0,0.00,0.013,1.000,1.702
trio-core,35,1,boss,300,200,1.000,0.000,0.000,0.986,3.0,0.00,0.014,1.000,1.702
trio-core,35,2,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
