comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,20,1,pack,180,500,1.000,0.000,0.000,0.990,1.0,0.00,0.010,1.000,1.615
trio-core,20,1,boss,60,500,1.000,0.000,0.000,0.968,3.9,0.00,0.032,0.505,1.603
trio-core,20,1,boss,180,500,1.000,0.000,0.000,0.968,3.9,0.00,0.032,0.504,1.603
trio-core,20,2,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,2,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,2,pack,60,500,1.000,0.000,0.000,0.959,2.8,0.00,0.041,0.948,1.598
trio-core,20,2,pack,180,500,1.000,0.000,0.000,0.960,2.8,0.00,0.040,0.951,1.599
trio-core,20,2,boss,60,500,1.000,0.000,0.000,0.973,5.8,0.00,0.027,0.591,1.605
trio-core,20,2,boss,180,500,1.000,0.000,0.000,0.971,5.8,0.00,0.029,0.585,1.604
trio-core,20,3,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,3,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,3,pack,60,500,1.000,0.000,0.000,0.902,3.8,0.00,0.098,0.810,1.567
trio-core,20,3,pack,180,500,1.000,0.000,0.000,0.902,3.8,0.00,0.098,0.809,1.567
trio-core,20,3,boss,60,500,1.000,0.000,0.000,0.866,7.7,0.00,0.134,0.338,1.548
trio-core,20,3,boss,180,500,1.000,0.000,0.000,0.858,7.6,0.00,0.142,0.339,1.543
trio-core,20,4,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,4,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,4,pack,60,500,1.000,0.000,0.000,0.889,5.8,0.00,0.111,0.624,1.560
trio-core,20,4,pack,180,500,1.000,0.000,0.000,0.889,5.8,0.00,0.111,0.618,1.560
trio-core,20,4,boss,60,500,0.768,0.232,0.000,0.746,35.7,0.78,0.269,0.842,1.139
trio-core,20,4,boss,180,500,1.000,0.000,0.000,0.744,42.5,0.81,0.256,0.846,1.482
trio-core,20,5,solo,60,500,1.000,0.000,0.000,0.896,1.7,0.00,0.104,1.000,1.564
trio-core,20,5,solo,180,500,1.000,0.000,0.000,0.895,1.8,0.00,0.105,1.000,1.563
trio-core,20,5,pack,60,500,0.250,0.140,0.610,0.660,30.7,2.32,0.823,0.530,0.359
